case_id,random_seed,speed_kmh,split,case_kind,pair_group,defects_json
s003_seed87860543_v160_ballast,87860543,160,train,ballast,,"[{""type"": ""ballast_condition"", ""label"": ""ballast_loose"", ""start_m"": 220.8, ""count"": 145, ""side"": ""right"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.2563, ""damping_factor_eta_c"": 1.0}]"
s003_seed87860543_v160_subgrade,87860543,160,train,subgrade,,"[{""type"": ""subgrade_condition"", ""label"": ""subgrade_weakened"", ""start_m"": 282.6, ""count"": 132, ""side"": ""left"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.2151, ""damping_factor_eta_c"": 1.0}]"
s003_seed87860543_v160_coupled_fastener_ballast,87860543,160,train,coupled_fastener_ballast,,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 226.2, ""count"": 5, ""side"": ""left"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.25, ""damping_factor_eta_c"": 1.0}, {""type"": ""ballast_condition"", ""label"": ""ballast_loose"", ""start_m"": 282.0, ""count"": 101, ""side"": ""left"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.6848, ""damping_factor_eta_c"": 1.0}]"
s004_seed74178924_v160_baseline,74178924,160,train,baseline,,[]
s004_seed74178924_v160_fastener,74178924,160,train,fastener,,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 264.6, ""count"": 5, ""side"": ""both"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.5, ""damping_factor_eta_c"": 1.0}]"
s004_seed74178924_v160_sleeper_void,74178924,160,train,sleeper_void,,"[{""type"": ""sleeper_void"", ""label"": ""sleeper_void"", ""start_m"": 231.0, ""count"": 1, ""side"": ""right"", ""directions"": ""vertical"", ""delta_gap_mm"": 1.76}]"
s004_seed74178924_v160_ballast,74178924,160,train,ballast,,"[{""type"": ""ballast_condition"", ""label"": ""ballast_loose"", ""start_m"": 228.6, ""count"": 47, ""side"": ""right"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.4162, ""damping_factor_eta_c"": 1.0}]"
s004_seed74178924_v160_subgrade,74178924,160,train,subgrade,,"[{""type"": ""subgrade_condition"", ""label"": ""subgrade_weakened"", ""start_m"": 198.0, ""count"": 66, ""side"": ""right"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.1846, ""damping_factor_eta_c"": 1.0}]"
s004_seed74178924_v160_coupled_sleeper_void_ballast,74178924,160,train,coupled_sleeper_void_ballast,,"[{""type"": ""sleeper_void"", ""label"": ""sleeper_void"", ""start_m"": 206.4, ""count"": 6, ""side"": ""both"", ""directions"": ""vertical"", ""delta_gap_mm"": 0.98}, {""type"": ""ballast_condition"", ""label"": ""ballast_loose"", ""start_m"": 199.2, ""count"": 142, ""side"": ""right"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.2888, ""damping_factor_eta_c"": 1.0}]"
s005_seed80930382_v160_baseline,80930382,160,train,baseline,,[]
s005_seed80930382_v160_fastener,80930382,160,train,fastener,,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 295.2, ""count"": 2, ""side"": ""left"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.75, ""damping_factor_eta_c"": 1.0}]"
s005_seed80930382_v160_sleeper_void,80930382,160,train,sleeper_void,,"[{""type"": ""sleeper_void"", ""label"": ""sleeper_void"", ""start_m"": 229.2, ""count"": 4, ""side"": ""both"", ""directions"": ""vertical"", ""delta_gap_mm"": 1.57}]"
s005_seed80930382_v160_ballast,80930382,160,train,ballast,,"[{""type"": ""ballast_condition"", ""label"": ""ballast_hardened"", ""start_m"": 150.6, ""count"": 16, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 6.1288, ""damping_factor_eta_c"": 1.0}]"
s005_seed80930382_v160_subgrade,80930382,160,train,subgrade,,"[{""type"": ""subgrade_condition"", ""label"": ""subgrade_weakened"", ""start_m"": 268.2, ""count"": 140, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.6519, ""damping_factor_eta_c"": 1.0}]"
s005_seed80930382_v160_coupled_sleeper_void_fastener,80930382,160,train,coupled_sleeper_void_fastener,,"[{""type"": ""sleeper_void"", ""label"": ""sleeper_void"", ""start_m"": 242.4, ""count"": 1, ""side"": ""both"", ""directions"": ""vertical"", ""delta_gap_mm"": 1.7}, {""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 191.4, ""count"": 4, ""side"": ""right"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.5, ""damping_factor_eta_c"": 1.0}]"
s006_seed25935677_v160_baseline,25935677,160,train,baseline,,[]
s006_seed25935677_v160_fastener,25935677,160,train,fastener,,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 243.6, ""count"": 9, ""side"": ""both"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.0, ""damping_factor_eta_c"": 1.0}]"
s006_seed25935677_v160_sleeper_void,25935677,160,train,sleeper_void,,"[{""type"": ""sleeper_void"", ""label"": ""sleeper_void"", ""start_m"": 275.4, ""count"": 8, ""side"": ""right"", ""directions"": ""vertical"", ""delta_gap_mm"": 0.88}]"
s006_seed25935677_v160_ballast,25935677,160,train,ballast,,"[{""type"": ""ballast_condition"", ""label"": ""ballast_hardened"", ""start_m"": 180.0, ""count"": 78, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 2.1158, ""damping_factor_eta_c"": 1.0}]"
s006_seed25935677_v160_subgrade,25935677,160,train,subgrade,,"[{""type"": ""subgrade_condition"", ""label"": ""subgrade_weakened"", ""start_m"": 255.0, ""count"": 80, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.357, ""damping_factor_eta_c"": 1.0}]"
s006_seed25935677_v160_coupled_fastener_sleeper_void,25935677,160,train,coupled_fastener_sleeper_void,,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 160.2, ""count"": 1, ""side"": ""both"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.1, ""damping_factor_eta_c"": 1.0}, {""type"": ""sleeper_void"", ""label"": ""sleeper_void"", ""start_m"": 153.0, ""count"": 1, ""side"": ""left"", ""directions"": ""vertical"", ""delta_gap_mm"": 2.31}]"
s007_seed75475639_v160_baseline,75475639,160,train,baseline,,[]
s007_seed75475639_v160_fastener,75475639,160,train,fastener,,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 268.2, ""count"": 2, ""side"": ""right"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.1, ""damping_factor_eta_c"": 1.0}]"
s007_seed75475639_v160_sleeper_void,75475639,160,train,sleeper_void,,"[{""type"": ""sleeper_void"", ""label"": ""sleeper_void"", ""start_m"": 154.2, ""count"": 5, ""side"": ""right"", ""directions"": ""vertical"", ""delta_gap_mm"": 2.57}]"
s007_seed75475639_v160_ballast,75475639,160,train,ballast,,"[{""type"": ""ballast_condition"", ""label"": ""ballast_hardened"", ""start_m"": 243.6, ""count"": 108, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 4.8308, ""damping_factor_eta_c"": 1.0}]"
s007_seed75475639_v160_subgrade,75475639,160,train,subgrade,,"[{""type"": ""subgrade_condition"", ""label"": ""subgrade_weakened"", ""start_m"": 237.0, ""count"": 46, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.4993, ""damping_factor_eta_c"": 1.0}]"
s007_seed75475639_v160_coupled_ballast_fastener,75475639,160,train,coupled_ballast_fastener,,"[{""type"": ""ballast_condition"", ""label"": ""ballast_hardened"", ""start_m"": 292.8, ""count"": 44, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 2.3279, ""damping_factor_eta_c"": 1.0}, {""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 286.2, ""count"": 5, ""side"": ""left"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.0, ""damping_factor_eta_c"": 1.0}]"
s008_seed93896902_v160_baseline,93896902,160,train,baseline,,[]
s008_seed93896902_v160_fastener,93896902,160,train,fastener,,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 211.2, ""count"": 3, ""side"": ""both"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.0, ""damping_factor_eta_c"": 1.0}]"
s008_seed93896902_v160_sleeper_void,93896902,160,train,sleeper_void,,"[{""type"": ""sleeper_void"", ""label"": ""sleeper_void"", ""start_m"": 283.8, ""count"": 3, ""side"": ""both"", ""directions"": ""vertical"", ""delta_gap_mm"": 0.62}]"
s008_seed93896902_v160_ballast,93896902,160,train,ballast,,"[{""type"": ""ballast_condition"", ""label"": ""ballast_loose"", ""start_m"": 213.6, ""count"": 14, ""side"": ""left"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.6154, ""damping_factor_eta_c"": 1.0}]"
s008_seed93896902_v160_subgrade,93896902,160,train,subgrade,,"[{""type"": ""subgrade_condition"", ""label"": ""subgrade_weakened"", ""start_m"": 200.4, ""count"": 123, ""side"": ""left"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.7289, ""damping_factor_eta_c"": 1.0}]"
s008_seed93896902_v160_coupled_ballast_subgrade,93896902,160,train,coupled_ballast_subgrade,,"[{""type"": ""ballast_condition"", ""label"": ""ballast_hardened"", ""start_m"": 211.8, ""count"": 59, ""side"": ""left"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 5.4298, ""damping_factor_eta_c"": 1.0}, {""type"": ""subgrade_condition"", ""label"": ""subgrade_weakened"", ""start_m"": 217.8, ""count"": 153, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.7725, ""damping_factor_eta_c"": 1.0}]"
s009_seed72037751_v160_baseline,72037751,160,train,baseline,,[]
s009_seed72037751_v160_fastener,72037751,160,train,fastener,,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 172.2, ""count"": 2, ""side"": ""both"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.0, ""damping_factor_eta_c"": 1.0}]"
s009_seed72037751_v160_sleeper_void,72037751,160,train,sleeper_void,,"[{""type"": ""sleeper_void"", ""label"": ""sleeper_void"", ""start_m"": 155.4, ""count"": 5, ""side"": ""both"", ""directions"": ""vertical"", ""delta_gap_mm"": 2.2}]"
s009_seed72037751_v160_ballast,72037751,160,train,ballast,,"[{""type"": ""ballast_condition"", ""label"": ""ballast_hardened"", ""start_m"": 265.8, ""count"": 63, ""side"": ""left"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 5.1846, ""damping_factor_eta_c"": 1.0}]"
s009_seed72037751_v160_subgrade,72037751,160,train,subgrade,,"[{""type"": ""subgrade_condition"", ""label"": ""subgrade_weakened"", ""start_m"": 151.8, ""count"": 92, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.7205, ""damping_factor_eta_c"": 1.0}]"
s009_seed72037751_v160_coupled_fastener_ballast,72037751,160,train,coupled_fastener_ballast,,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 168.6, ""count"": 1, ""side"": ""both"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.25, ""damping_factor_eta_c"": 1.0}, {""type"": ""ballast_condition"", ""label"": ""ballast_hardened"", ""start_m"": 183.0, ""count"": 20, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 6.4626, ""damping_factor_eta_c"": 1.0}]"
s010_seed67254543_v160_baseline,67254543,160,train,baseline,,[]
s010_seed67254543_v160_fastener,67254543,160,train,fastener,,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 201.0, ""count"": 1, ""side"": ""right"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.5, ""damping_factor_eta_c"": 1.0}]"
s010_seed67254543_v160_sleeper_void,67254543,160,train,sleeper_void,,"[{""type"": ""sleeper_void"", ""label"": ""sleeper_void"", ""start_m"": 295.8, ""count"": 6, ""side"": ""both"", ""directions"": ""vertical"", ""delta_gap_mm"": 2.18}]"
s010_seed67254543_v160_ballast,67254543,160,train,ballast,,"[{""type"": ""ballast_condition"", ""label"": ""ballast_hardened"", ""start_m"": 281.4, ""count"": 94, ""side"": ""right"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 6.5086, ""damping_factor_eta_c"": 1.0}]"
s010_seed67254543_v160_subgrade,67254543,160,train,subgrade,,"[{""type"": ""subgrade_condition"", ""label"": ""subgrade_weakened"", ""start_m"": 165.6, ""count"": 134, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.7063, ""damping_factor_eta_c"": 1.0}]"
s010_seed67254543_v160_coupled_ballast_sleeper_void,67254543,160,train,coupled_ballast_sleeper_void,,"[{""type"": ""ballast_condition"", ""label"": ""ballast_loose"", ""start_m"": 168.0, ""count"": 134, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.1441, ""damping_factor_eta_c"": 1.0}, {""type"": ""sleeper_void"", ""label"": ""sleeper_void"", ""start_m"": 182.4, ""count"": 5, ""side"": ""both"", ""directions"": ""vertical"", ""delta_gap_mm"": 2.7}]"
s011_seed41396190_v160_baseline,41396190,160,train,baseline,,[]
s011_seed41396190_v160_fastener,41396190,160,train,fastener,,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 249.6, ""count"": 3, ""side"": ""right"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.1, ""damping_factor_eta_c"": 1.0}]"
s011_seed41396190_v160_sleeper_void,41396190,160,train,sleeper_void,,"[{""type"": ""sleeper_void"", ""label"": ""sleeper_void"", ""start_m"": 190.2, ""count"": 6, ""side"": ""both"", ""directions"": ""vertical"", ""delta_gap_mm"": 0.82}]"
s011_seed41396190_v160_ballast,41396190,160,train,ballast,,"[{""type"": ""ballast_condition"", ""label"": ""ballast_loose"", ""start_m"": 162.6, ""count"": 137, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.6547, ""damping_factor_eta_c"": 1.0}]"
s011_seed41396190_v160_subgrade,41396190,160,train,subgrade,,"[{""type"": ""subgrade_condition"", ""label"": ""subgrade_weakened"", ""start_m"": 154.8, ""count"": 121, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.1143, ""damping_factor_eta_c"": 1.0}]"
s011_seed41396190_v160_coupled_ballast_sleeper_void,41396190,160,train,coupled_ballast_sleeper_void,,"[{""type"": ""ballast_condition"", ""label"": ""ballast_hardened"", ""start_m"": 159.0, ""count"": 72, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 2.1763, ""damping_factor_eta_c"": 1.0}, {""type"": ""sleeper_void"", ""label"": ""sleeper_void"", ""start_m"": 222.0, ""count"": 8, ""side"": ""both"", ""directions"": ""vertical"", ""delta_gap_mm"": 2.66}]"
s012_seed47121630_v160_baseline,47121630,160,train,baseline,,[]
s012_seed47121630_v160_fastener,47121630,160,train,fastener,,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 271.8, ""count"": 7, ""side"": ""both"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.5, ""damping_factor_eta_c"": 1.0}]"
s012_seed47121630_v160_sleeper_void,47121630,160,train,sleeper_void,,"[{""type"": ""sleeper_void"", ""label"": ""sleeper_void"", ""start_m"": 208.2, ""count"": 1, ""side"": ""both"", ""directions"": ""vertical"", ""delta_gap_mm"": 2.29}]"
s012_seed47121630_v160_ballast,47121630,160,train,ballast,,"[{""type"": ""ballast_condition"", ""label"": ""ballast_hardened"", ""start_m"": 262.2, ""count"": 58, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 2.3865, ""damping_factor_eta_c"": 1.0}]"
s012_seed47121630_v160_subgrade,47121630,160,train,subgrade,,"[{""type"": ""subgrade_condition"", ""label"": ""subgrade_weakened"", ""start_m"": 239.4, ""count"": 123, ""side"": ""right"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.5291, ""damping_factor_eta_c"": 1.0}]"
s012_seed47121630_v160_coupled_ballast_fastener,47121630,160,train,coupled_ballast_fastener,,"[{""type"": ""ballast_condition"", ""label"": ""ballast_loose"", ""start_m"": 178.8, ""count"": 36, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.1447, ""damping_factor_eta_c"": 1.0}, {""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 150.6, ""count"": 6, ""side"": ""both"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.5, ""damping_factor_eta_c"": 1.0}]"
s013_seed66290043_v160_baseline,66290043,160,train,baseline,,[]
s013_seed66290043_v160_fastener,66290043,160,train,fastener,,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 277.8, ""count"": 3, ""side"": ""right"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.0, ""damping_factor_eta_c"": 1.0}]"
s013_seed66290043_v160_sleeper_void,66290043,160,train,sleeper_void,,"[{""type"": ""sleeper_void"", ""label"": ""sleeper_void"", ""start_m"": 298.8, ""count"": 2, ""side"": ""left"", ""directions"": ""vertical"", ""delta_gap_mm"": 1.95}]"
s013_seed66290043_v160_ballast,66290043,160,train,ballast,,"[{""type"": ""ballast_condition"", ""label"": ""ballast_loose"", ""start_m"": 220.8, ""count"": 141, ""side"": ""left"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.7351, ""damping_factor_eta_c"": 1.0}]"
s013_seed66290043_v160_subgrade,66290043,160,train,subgrade,,"[{""type"": ""subgrade_condition"", ""label"": ""subgrade_weakened"", ""start_m"": 278.4, ""count"": 124, ""side"": ""right"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.1792, ""damping_factor_eta_c"": 1.0}]"
s013_seed66290043_v160_coupled_fastener_subgrade,66290043,160,train,coupled_fastener_subgrade,,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 262.2, ""count"": 6, ""side"": ""both"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.5, ""damping_factor_eta_c"": 1.0}, {""type"": ""subgrade_condition"", ""label"": ""subgrade_weakened"", ""start_m"": 288.6, ""count"": 38, ""side"": ""right"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.5129, ""damping_factor_eta_c"": 1.0}]"
s014_seed29905071_v160_baseline,29905071,160,train,baseline,,[]
s014_seed29905071_v160_fastener,29905071,160,train,fastener,,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 243.6, ""count"": 7, ""side"": ""right"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.0, ""damping_factor_eta_c"": 1.0}]"
s014_seed29905071_v160_sleeper_void,29905071,160,train,sleeper_void,,"[{""type"": ""sleeper_void"", ""label"": ""sleeper_void"", ""start_m"": 278.4, ""count"": 1, ""side"": ""both"", ""directions"": ""vertical"", ""delta_gap_mm"": 1.27}]"
s014_seed29905071_v160_ballast,29905071,160,train,ballast,,"[{""type"": ""ballast_condition"", ""label"": ""ballast_hardened"", ""start_m"": 165.6, ""count"": 61, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 6.6365, ""damping_factor_eta_c"": 1.0}]"
s014_seed29905071_v160_subgrade,29905071,160,train,subgrade,,"[{""type"": ""subgrade_condition"", ""label"": ""subgrade_weakened"", ""start_m"": 264.0, ""count"": 120, ""side"": ""left"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.4017, ""damping_factor_eta_c"": 1.0}]"
s014_seed29905071_v160_coupled_fastener_subgrade,29905071,160,train,coupled_fastener_subgrade,,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 215.4, ""count"": 7, ""side"": ""both"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.75, ""damping_factor_eta_c"": 1.0}, {""type"": ""subgrade_condition"", ""label"": ""subgrade_weakened"", ""start_m"": 211.8, ""count"": 139, ""side"": ""right"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.3671, ""damping_factor_eta_c"": 1.0}]"
s015_seed91979125_v160_baseline,91979125,160,train,baseline,,[]
s015_seed91979125_v160_fastener,91979125,160,train,fastener,,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 160.8, ""count"": 7, ""side"": ""right"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.0, ""damping_factor_eta_c"": 1.0}]"
s015_seed91979125_v160_sleeper_void,91979125,160,train,sleeper_void,,"[{""type"": ""sleeper_void"", ""label"": ""sleeper_void"", ""start_m"": 218.4, ""count"": 8, ""side"": ""right"", ""directions"": ""vertical"", ""delta_gap_mm"": 1.08}]"
s015_seed91979125_v160_ballast,91979125,160,train,ballast,,"[{""type"": ""ballast_condition"", ""label"": ""ballast_hardened"", ""start_m"": 159.6, ""count"": 28, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 5.4747, ""damping_factor_eta_c"": 1.0}]"
s015_seed91979125_v160_subgrade,91979125,160,train,subgrade,,"[{""type"": ""subgrade_condition"", ""label"": ""subgrade_weakened"", ""start_m"": 171.0, ""count"": 166, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.6562, ""damping_factor_eta_c"": 1.0}]"
s015_seed91979125_v160_coupled_ballast_fastener,91979125,160,train,coupled_ballast_fastener,,"[{""type"": ""ballast_condition"", ""label"": ""ballast_loose"", ""start_m"": 271.8, ""count"": 163, ""side"": ""left"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.7258, ""damping_factor_eta_c"": 1.0}, {""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 168.0, ""count"": 2, ""side"": ""right"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.25, ""damping_factor_eta_c"": 1.0}]"
s016_seed48931274_v160_baseline,48931274,160,train,baseline,,[]
s016_seed48931274_v160_fastener,48931274,160,train,fastener,,"[{""type"": ""fastener_failure"", ""label"": ""fastener_eta"", ""start_m"": 217.2, ""count"": 4, ""side"": ""left"", ""directions"": ""both"", ""stiffness_factor_eta_k"": 0.5, ""damping_factor_eta_c"": 1.0}]"
s016_seed48931274_v160_sleeper_void,48931274,160,train,sleeper_void,,"[{""type"": ""sleeper_void"", ""label"": ""sleeper_void"", ""start_m"": 232.2, ""count"": 1, ""side"": ""right"", ""directions"": ""vertical"", ""delta_gap_mm"": 2.03}]"
s016_seed48931274_v160_ballast,48931274,160,train,ballast,,"[{""type"": ""ballast_condition"", ""label"": ""ballast_loose"", ""start_m"": 193.2, ""count"": 107, ""side"": ""both"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.4377, ""damping_factor_eta_c"": 1.0}]"
s016_seed48931274_v160_subgrade,48931274,160,train,subgrade,,"[{""type"": ""subgrade_condition"", ""label"": ""subgrade_weakened"", ""start_m"": 224.4, ""count"": 139, ""side"": ""right"", ""directions"": ""vertical"", ""stiffness_factor_eta_k"": 0.3478, ""damping_factor_eta_c"": 1.0}]"
